Item,Category,Quantity,Unit,Last_Updated
Corn Tortillas,Pantry,90,packs,2025-11-08
Flour Tortillas,Pantry,42,packs,2025-11-08
Black Beans,Pantry,34,cans,2025-11-08
Pinto Beans,Pantry,43,cans,2025-11-08
Long Grain Rice,Pantry,122,lbs,2025-11-08
Chicken Breast,Meat,93,lbs,2025-11-08
Ground Beef,Meat,106,lbs,2025-11-08
Chorizo,Meat,107,lbs,2025-11-08
Cheddar Cheese,Dairy,81,lbs,2025-11-08
Monterey Jack Cheese,Dairy,64,lbs,2025-11-08
Sour Cream,Dairy,49,tubs,2025-11-08
Lettuce,Produce,55,heads,2025-11-08
Tomatoes,Produce,72,lbs,2025-11-08
Onions,Produce,38,lbs,2025-11-08
Jalapeños,Produce,80,lbs,2025-11-08
