Item,Category,Quantity,Unit,Last_Updated
Corn Tortillas,Pantry,67,packs,2025-11-22
Flour Tortillas,Pantry,13,packs,2025-11-22
Black Beans,Pantry,6,cans,2025-11-22
Pinto Beans,Pantry,28,cans,2025-11-22
Long Grain Rice,Pantry,94,lbs,2025-11-22
Chicken Breast,Meat,62,lbs,2025-11-22
Ground Beef,Meat,75,lbs,2025-11-22
Chorizo,Meat,88,lbs,2025-11-22
Cheddar Cheese,Dairy,63,lbs,2025-11-22
Monterey Jack Cheese,Dairy,46,lbs,2025-11-22
Sour Cream,Dairy,33,tubs,2025-11-22
Lettuce,Produce,33,heads,2025-11-22
Tomatoes,Produce,42,lbs,2025-11-22
Onions,Produce,12,lbs,2025-11-22
Jalapeños,Produce,62,lbs,2025-11-22
