Item,Category,Quantity,Unit,Last_Updated
San Marzano Tomatoes,Pantry,101,cans,2025-11-15
Extra Virgin Olive Oil,Pantry,99,bottles,2025-11-15
Fresh Mozzarella,Dairy,34,lbs,2025-11-15
Penne Pasta,Pantry,46,lbs,2025-11-15
Spaghetti Pasta,Pantry,56,lbs,2025-11-15
Basil (Fresh),Produce,68,bunches,2025-11-15
Parmesan Cheese,Dairy,87,lbs,2025-11-15
Prosciutto,Meat,132,lbs,2025-11-15
Arborio Rice,Pantry,102,lbs,2025-11-15
Garlic Bulbs,Produce,23,bulbs,2025-11-15
Red Wine Vinegar,Pantry,55,bottles,2025-11-15
Pizza Dough Balls,Bakery,126,units,2025-11-15
Italian Sausage,Meat,43,lbs,2025-11-15
Tomato Paste,Pantry,36,cans,2025-11-15
Cannellini Beans,Pantry,33,cans,2025-11-15
