Item,Category,Quantity,Unit,Last_Updated
San Marzano Tomatoes,Pantry,105,cans,2025-11-08
Extra Virgin Olive Oil,Pantry,115,bottles,2025-11-08
Fresh Mozzarella,Dairy,47,lbs,2025-11-08
Penne Pasta,Pantry,64,lbs,2025-11-08
Spaghetti Pasta,Pantry,67,lbs,2025-11-08
Basil (Fresh),Produce,70,bunches,2025-11-08
Parmesan Cheese,Dairy,99,lbs,2025-11-08
Prosciutto,Meat,144,lbs,2025-11-08
Arborio Rice,Pantry,112,lbs,2025-11-08
Garlic Bulbs,Produce,27,bulbs,2025-11-08
Red Wine Vinegar,Pantry,66,bottles,2025-11-08
Pizza Dough Balls,Bakery,133,units,2025-11-08
Italian Sausage,Meat,45,lbs,2025-11-08
Tomato Paste,Pantry,53,cans,2025-11-08
Cannellini Beans,Pantry,43,cans,2025-11-08
